requete;11pt_avg;P_1;P_10;P_100;P_1000;P_15;P_2;P_20;P_200;P_30;P_5;P_50;P_500;Rndcg;Rprec;bpref;iprec_at_recall_0.00;iprec_at_recall_0.10;iprec_at_recall_0.20;iprec_at_recall_0.30;iprec_at_recall_0.40;iprec_at_recall_0.50;iprec_at_recall_0.60;iprec_at_recall_0.70;iprec_at_recall_0.80;iprec_at_recall_0.90;iprec_at_recall_1.00;map;ndcg;ndcg_cut_10;ndcg_cut_100;ndcg_cut_1000;ndcg_cut_15;ndcg_cut_20;ndcg_cut_200;ndcg_cut_30;ndcg_cut_5;ndcg_cut_500;ndcg_rel;num_rel;num_rel_ret;num_ret;recall_1;recall_10;recall_100;recall_1000;recall_15;recall_2;recall_20;recall_200;recall_30;recall_5;recall_50;recall_500;recip_rank;relative_P_1;relative_P_10;relative_P_100;relative_P_1000;relative_P_15;relative_P_2;relative_P_20;relative_P_200;relative_P_30;relative_P_5;relative_P_50;relative_P_500;set_F;set_P;set_map;set_recall;set_relative_P;success_1;success_10;success_5
271;0.0057;0.0;0.0000;0.0100;0.0010;0.0000;0.0;0.0500;0.0050;0.0333;0.0000;0.0;0.0020;0.0102;0.0000;0.0533;0.0625;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0042;0.0306;0.0000;0.0306;0.0306;0.0000;0.0306;0.0306;0.0306;0.0000;0.0306;0.0306;15;1;0.0;0.0;0.0000;0.0667;0.0667;0.0000;0.0;0.0667;0.0667;0.0667;0.0000;0.0;0.0667;0.0625;0.0;0.0000;0.0667;0.0667;0.0000;0.0;0.0667;0.0667;0.0667;0.0000;0.0;0.0667;0.0020;0.0010;0.0001;0.0667;0.0667;0.0000;0.0000;0.0000
272;0.0341;0.0;0.3000;0.0300;0.0180;0.2000;0.0;0.1500;0.0250;0.1000;0.2000;0.0;0.0260;0.0483;0.0220;0.0767;0.3750;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0057;0.0660;0.0927;0.0315;0.0660;0.0756;0.0649;0.0282;0.0517;0.0509;0.0535;0.0649;227;18;0.0;0.0;0.0132;0.0132;0.0793;0.0132;0.0;0.0132;0.0220;0.0132;0.0044;0.0;0.0573;0.2500;0.0;0.3000;0.0300;0.0793;0.2000;0.0;0.1500;0.0250;0.1000;0.2000;0.0;0.0573;0.0293;0.0180;0.0014;0.0793;0.0793;0.0000;1.0000;1.0000
273;0.0111;0.0;0.1000;0.0200;0.0040;0.0667;0.0;0.1000;0.0100;0.0667;0.0000;0.0;0.0080;0.0321;0.0500;0.0750;0.1111;0.0104;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0061;0.0521;0.0545;0.0366;0.0521;0.0440;0.0473;0.0366;0.0390;0.0000;0.0521;0.0521;40;4;0.0;0.0;0.0250;0.0500;0.1000;0.0250;0.0;0.0500;0.0500;0.0500;0.0000;0.0;0.1000;0.1111;0.0;0.1000;0.0500;0.1000;0.0667;0.0;0.1000;0.0500;0.0667;0.0000;0.0;0.1000;0.0077;0.0040;0.0004;0.1000;0.1000;0.0000;1.0000;0.0000
274;0.0020;0.0;0.0000;0.0200;0.0060;0.0000;0.0;0.0000;0.0150;0.0000;0.0000;0.0;0.0100;0.0095;0.0200;0.0559;0.0221;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0008;0.0284;0.0000;0.0094;0.0284;0.0000;0.0000;0.0182;0.0000;0.0000;0.0253;0.0278;100;6;0.0;0.0;0.0000;0.0200;0.0600;0.0000;0.0;0.0000;0.0300;0.0000;0.0000;0.0;0.0500;0.0114;0.0;0.0000;0.0200;0.0600;0.0000;0.0;0.0000;0.0300;0.0000;0.0000;0.0;0.0500;0.0109;0.0060;0.0004;0.0600;0.0600;0.0000;0.0000;0.0000
275;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;24;0;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
276;0.0909;0.0;0.3000;0.1000;0.0100;0.2000;0.0;0.1500;0.0500;0.1667;0.4000;0.0;0.0200;0.0715;0.0503;0.0498;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0133;0.0610;0.1230;0.0825;0.0610;0.0953;0.0820;0.0610;0.0847;0.1568;0.0610;0.0639;199;10;0.0;0.0;0.0151;0.0503;0.0503;0.0151;0.0;0.0151;0.0503;0.0251;0.0101;0.0;0.0503;1.0000;0.0;0.3000;0.1000;0.0503;0.2000;0.0;0.1500;0.0503;0.1667;0.4000;0.0;0.0503;0.0167;0.0100;0.0005;0.0503;0.0503;1.0000;1.0000;1.0000
277;0.0002;0.0;0.0000;0.0000;0.0010;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0011;0.0000;0.0140;0.0020;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0044;0.0000;0.0000;0.0044;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0044;62;1;0.0;0.0;0.0000;0.0000;0.0161;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0020;0.0;0.0000;0.0000;0.0161;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0019;0.0010;0.0000;0.0161;0.0161;0.0000;0.0000;0.0000
278;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4;0;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
279;0.0303;0.0;0.2000;0.0400;0.0060;0.2000;0.0;0.1500;0.0250;0.1000;0.2000;0.0;0.0120;0.0777;0.0408;0.0583;0.3333;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0094;0.0602;0.0912;0.0516;0.0602;0.0932;0.0827;0.0560;0.0735;0.0875;0.0602;0.0616;98;6;0.0;0.0;0.0204;0.0408;0.0612;0.0306;0.0;0.0306;0.0510;0.0306;0.0102;0.0;0.0612;0.2000;0.0;0.2000;0.0408;0.0612;0.2000;0.0;0.1500;0.0510;0.1000;0.2000;0.0;0.0612;0.0109;0.0060;0.0004;0.0612;0.0612;0.0000;1.0000;1.0000
280;0.0455;0.0;0.2000;0.0800;0.0110;0.2000;0.0;0.1500;0.0550;0.1333;0.4000;0.0;0.0220;0.0649;0.0598;0.0579;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0105;0.0784;0.1777;0.0929;0.0784;0.1621;0.1368;0.0784;0.1177;0.2598;0.0784;0.0812;184;11;0.0;0.0;0.0109;0.0435;0.0598;0.0163;0.0;0.0163;0.0598;0.0217;0.0109;0.0;0.0598;0.3333;0.0;0.2000;0.0800;0.0598;0.2000;0.0;0.1500;0.0598;0.1333;0.4000;0.0;0.0598;0.0186;0.0110;0.0007;0.0598;0.0598;0.0000;1.0000;1.0000
